Vocabulary;Explanation
A (school) term;Un trimestre/semestre
A Bachelor's degree, a Bachelor of Arts (BA), a Bachelor of Science (BS);Une licence
A boarding school/dormitory;Un internat
A curriculum/syllabus-syllabi (pl);Un programme
A degree;Un diplôme
A deputy head;Le proviseur adjoint
A donation;Un don
A failure;Un échec
A grade (US)/form (GB);Une classe
A grade (US)/mark (GB);Une note
A graduate (student);Un étudiant qui a une licence
A grant (US)/scholarship (GB);Une bourse
A headmaster/headmistress;Un proviseur
A high school (US)/ secondary school (GB);Un lycée
A kindergarten (US)/nursery school (GB);Une maternelle
A lexicographer;Quelqu'un qui écrit des dictionnaires
A master's degree, a Master of Arts (MA), a Master of Science (MS), a Master of Business Administration (MBA);Un master
A mortgage;Un emprunt immobilier
A postgraduate (student);Un étudiant en master
A private school (US)/public school (GB);Une école privée
A Professor;Un Professeur des universités
A school yard/playground;Une cours de récréation
A senior high school (US) / sixth form college (GB);Un lycée
A state school/state-run school/governmental school/government-funded school;Une école publique
A subject;Une matière
A university/college;Une université, une école supérieure
A university staff/ a faculty (member);Un membre du personnel d'une université
A vocational school;Un établissement d'enseignement professionnel
An au pair;Une jeune fille au pair
An internship (US)/placement (GB)/training program (GB);Un stage
An investment;Un investissement
An overdue book;Un livre en retard (à la bibliothèque)
An undergraduate (student);Un étudiant qui n'a pas encore sa licence
Break a leg!;Pour souhaiter bonne chance avant un examen ou une échéance importante.
Compulsory schooling;Ecole obligatoire
GCSE (GB);Equivalent de Brevet des collèges (BEPC)
Illiteracy;Illétrisme
Physical education (PE);Education Physique et Sportive (EPS)
Proud;Fier
Scholastic Aptitude Tests (SATs) (US)/ A levels (GB);Equivalent du baccalauréat
Shy;Timide
To better oneself;S'améliorer
To cheat/to crib;Tricher
To come out of the closet;Sortir du placard
To drop out school;Abandonner l'école
To fail an exam;Echouer à un examen
To graduate;Détenir un diplôme
To groom someone;Faire la toilette, faire beau quelqu'un
To learn a foreign language;Apprendre une langue étrangère
To pass an exam;Passer, valider un examen
To practice a foreign language;Pratiquer une langue étrangère
To repeat a year;Redoubler
To skip a course/to play truant;Sécher un cours
To speak a new language;Parler une nouvelle langue
To take/sit/write an exam;Passer un examen
Tuition fees;Frais de scolarité
Weak;Faible
Well-off;Aisé (financièrement)
