Vocabulary;Translation
A (tea/soup) spoon;Une (petite) cuillère (à soupe)
A boiled egg;Un œuf dur
A caterer;Un traiteur
A chef;Un chef
A counter;Un comptoir
A dish;Un plat
A first course;Une entrée/un hors d'œuvre
A fork;Une fourchette
A knife - knives (pl);Un couteau
A main course;Un plat principal
A plate;Une assiette
A sauerkraut;Choucroute
A snail;Un escargot
A starter;Une entrée/un hors d'œuvre
A take-away meal;Un plat à emporter
A waiter/a waitress;Un serveur/une serveuse
A wine label;Une étiquette
A wine list;Une liste des vins
An appetizer;Une entrée/un hors d'œuvre
An inn;Une auberge
Canned (US)/tinned (GB) fruits;Des fruits en boîte
Crisp(y);Croustillant
Crusty;Croustillant
Cutlery;Couverts
Edible;Comestible
French fries (US)/chips (GB);Frites
Gastronomy;La gastronomie
Inedible;Non-comestible
Mashed potatoes;Purée
Noodles;Nouilles
Scrambled eggs;Les œufs brouillés
Seafood;Les fruits de mer
Slow food;Slow food, nourriture qui se mange lentement
Sparkling water;Eau pétillante
Still water;Eau plate
Tasteless;Fade
Tasty;Goûteux
Tips included;Pourboires inclus
To be hungry;Avoir faim
To be starving;Mourir de faim
To be thirsty;Avoir soif
To cater for;Faire traiteur
To charge;Facturer
To complain about something;Se plaindre de
To have a seat;S'asseoir
To order;Commander
To wash down;Faire passer, laver à grande eau
